#950 M-BGP deployment cases by Hurricane Electric (AS6939) identified before 20200510.
#Format: 
#border router|peeringASN,<neighbor address list by show ip bgp summary (separated by comma)>|prefix,<Next-hop list by show ip bgp route detail (separated by comma)>
tyo1|10010,203.190.230.13,210.171.224.124,210.173.176.229,218.100.6.50|202.216.79.0/24,210.173.176.229,218.100.6.50,203.190.230.13,210.171.224.124
ams1|10310,80.249.209.110,80.249.209.163|188.125.90.0/24,80.249.209.110,80.249.209.163
ams1|11179,80.249.212.73,80.249.212.74|159.100.200.0/24,80.249.212.74,80.249.212.73
ams1|1241,80.249.210.140,80.249.211.255|62.1.41.0/24,80.249.210.140,80.249.211.255
ams1|12414,80.249.208.165,185.1.94.11|91.235.237.0/24,185.1.94.11,80.249.208.165
ams1|1267,80.249.209.236,80.249.210.243|192.94.212.0/24,80.249.209.236,80.249.210.243
ams1|12859,80.249.208.35,80.249.208.200|91.233.105.0/24,80.249.208.35,80.249.208.200
ams1|12989,80.249.208.94,80.249.209.70|64.145.65.0/24,80.249.209.70,80.249.208.94
ams1|13030,80.249.208.210,80.249.210.210|193.47.153.0/24,80.249.208.210,80.249.210.210
ams1|13414,80.249.208.130,80.249.210.46|69.195.191.0/24,80.249.210.46,80.249.208.130
ams1|134512,80.249.212.5,185.1.95.42|43.239.140.0/24,185.1.95.42,80.249.212.5
ams1|14061,80.249.211.163,80.249.213.143|141.0.169.0/24,80.249.211.163,80.249.213.143
ams1|15133,80.249.208.151,80.249.209.162|46.22.70.0/24,80.249.208.151,80.249.209.162
ams1|15169,80.249.208.247,80.249.209.100|8.8.8.0/24,80.249.208.247,80.249.209.100
ams1|15879,80.249.208.167,80.249.209.67|193.104.111.0/24,80.249.209.67,80.249.208.167
ams1|16276,80.249.209.231,80.249.209.245|46.105.198.0/24,80.249.209.245,80.249.209.231
ams1|16509,80.249.210.100,80.249.210.217|99.83.255.0/24,80.249.210.217,80.249.210.100
ams1|199524,80.249.210.150,185.1.94.35,185.1.95.125|92.38.185.0/24,80.249.210.150,185.1.94.35
ams1|199939,80.249.211.24,80.249.211.25|212.237.253.0/24,80.249.211.25,80.249.211.24
ams1|200020,80.249.208.3,80.249.211.82|194.62.131.0/24,80.249.208.3,80.249.211.82
ams1|200981,80.249.212.195,80.249.212.196|185.89.205.0/24,80.249.212.195,80.249.212.196
ams1|205943,80.249.208.6,80.249.208.7|185.201.69.0/24,80.249.208.6,80.249.208.7
ams1|22363,80.249.212.22,80.249.212.23|31.6.4.0/24,80.249.212.23,80.249.212.22
ams1|22822,80.249.209.133,80.249.211.209|208.111.184.0/24,80.249.209.133,80.249.211.209
ams1|2686,80.249.208.37,80.249.208.194|32.42.9.0/24,80.249.208.37,80.249.208.194
ams1|29263,80.249.208.129,80.249.209.172|217.68.51.0/24,80.249.208.129,80.249.209.172
ams1|29396,80.249.208.154,80.249.209.166|185.30.56.0/24,80.249.209.166,80.249.208.154
ams1|30781,80.249.209.239,185.1.94.23|91.209.107.0/24,185.1.94.23,80.249.209.239
ams1|3303,80.249.208.100,185.1.94.19|45.85.96.0/24,80.249.208.100,185.1.94.19
ams1|34756,80.249.210.97,80.249.211.216|195.230.110.0/24,80.249.210.97,80.249.211.216
ams1|35709,80.249.209.54,185.1.95.123|95.214.17.0/24,185.1.95.123,80.249.209.54
ams1|36408,80.249.208.191,80.249.210.106|174.35.79.0/24,80.249.210.106,80.249.208.191
ams1|36459,80.249.213.114,185.1.94.37|140.82.119.0/24,185.1.94.37,80.249.213.114
ams1|38965,185.1.32.39,185.1.95.113|193.178.197.0/24,185.1.32.39,185.1.95.113
ams1|39386,80.249.212.144,80.249.212.145|84.235.95.0/24,80.249.212.144,80.249.212.145
ams1|39647,80.249.209.72,80.249.212.65|193.84.253.0/24,80.249.209.72,80.249.212.65
ams1|43350,80.249.208.228,80.249.210.175|5.104.136.0/24,80.249.208.228,80.249.210.175
ams1|46489,80.249.210.197,80.249.211.27|192.108.239.0/24,80.249.211.27,80.249.210.197
ams1|47254,80.249.213.59,80.249.213.60|159.117.207.0/24,80.249.213.59,80.249.213.60
ams1|47869,80.249.209.202,185.1.32.1|91.208.164.0/24,80.249.209.202,185.1.32.1
ams1|47886,80.249.208.245,80.249.209.222|91.220.21.0/24,80.249.209.222,80.249.208.245
ams1|49544,80.249.208.162,185.1.94.39|91.198.152.0/24,80.249.208.162,185.1.94.39
ams1|49685,80.249.209.148,80.249.209.149|83.96.157.0/24,80.249.209.149,80.249.209.148
ams1|49981,80.249.210.37,80.249.212.243|5.188.232.0/24,80.249.210.37,80.249.212.243
ams1|50655,185.1.32.7,185.1.95.38|178.20.174.0/24,185.1.32.7,185.1.95.38
ams1|50673,80.249.210.70,80.249.211.95|5.255.72.0/24,80.249.211.95,80.249.210.70
ams1|54113,80.249.212.183,80.249.212.184|23.235.37.0/24,80.249.212.183,80.249.212.184
ams1|60022,80.249.213.218,185.1.32.33|149.12.241.0/24,80.249.213.218,185.1.32.33
ams1|62044,80.249.212.162,80.249.212.163|165.225.30.0/24,80.249.212.162,80.249.212.163
ams1|6507,80.249.211.64,80.249.211.66|162.249.79.0/24,80.249.211.66,80.249.211.64
ams1|6774,80.249.208.87,80.249.209.76|213.137.139.0/24,80.249.208.87,80.249.209.76
ams1|714,80.249.211.160,80.249.211.183|17.84.208.0/24,80.249.211.160,80.249.211.183
ams1|8075,80.249.209.20,80.249.209.21|40.66.166.0/24,80.249.209.20,80.249.209.21
ams1|8283,80.249.211.161,185.1.94.15|91.208.34.0/24,80.249.211.161,185.1.94.15
ams1|8455,80.249.211.217,185.1.94.31,185.1.95.3|89.255.205.0/24,185.1.94.31,80.249.211.217
ams1|8608,80.249.208.90,80.249.209.90|91.223.140.0/24,80.249.209.90,80.249.208.90
ams1|9150,80.249.208.139,80.249.209.179|185.65.124.0/24,80.249.209.179,80.249.208.139
ash1|10310,206.53.170.14,206.126.236.2,206.126.236.16|68.180.160.0/24,206.126.236.16,206.53.170.14,206.126.236.2
ash1|11742,206.126.237.60,206.126.237.116|170.76.216.0/24,206.126.237.116,206.126.237.60
ash1|12085,206.126.237.248,206.126.237.249|198.32.107.0/24,206.126.237.248,206.126.237.249
ash1|13335,206.53.137.36,206.53.170.7,206.126.237.30|8.6.112.0/24,206.126.237.30,206.53.170.7
ash1|13414,206.53.170.23,206.126.236.97|69.195.190.0/24,206.53.170.23,206.126.236.97
ash1|14630,206.126.236.83,206.126.238.24|205.174.0.0/24,206.126.238.24,206.126.236.83
ash1|15211,206.126.237.145,206.126.237.146|74.122.189.0/24,206.126.237.146,206.126.237.145
ash1|16509,206.126.236.35,206.126.236.68|99.83.255.0/24,206.126.236.35,206.126.236.68
ash1|19679,206.126.236.74,206.126.237.74|45.58.71.0/24,206.126.237.74,206.126.236.74
ash1|25751,206.53.170.17,206.53.170.18,206.126.237.159,206.126.237.160|8.18.45.0/24,206.126.237.159,206.53.170.17,206.53.170.18,206.126.237.160
ash1|2635,206.126.236.197,206.126.237.124|198.181.117.0/24,206.126.237.124,206.126.236.197
ash1|26667,206.126.237.164,206.126.237.165|192.203.231.0/24,206.126.237.164,206.126.237.165
ash1|27471,206.126.236.209,206.126.236.211|148.64.16.0/24,206.126.236.209,206.126.236.211
ash1|32286,206.126.237.84,206.126.237.138|199.102.235.0/24,206.126.237.138,206.126.237.84
ash1|32590,206.126.237.32,206.126.237.222|162.254.192.0/24,206.126.237.222,206.126.237.32
ash1|33438,206.126.238.61,206.126.238.62|69.16.186.0/24,206.126.238.61,206.126.238.62
ash1|36459,206.126.237.27,206.126.237.205|192.30.253.0/24,206.126.237.27,206.126.237.205
ash1|394497,206.126.237.77,206.126.237.178|98.124.232.0/24,206.126.237.178,206.126.237.77
ash1|40526,206.126.237.246,206.126.237.247|8.18.111.0/24,206.126.237.247,206.126.237.246
ash1|46489,206.126.236.193,206.126.237.193|192.108.239.0/24,206.126.236.193,206.126.237.193
ash1|47254,206.126.238.17,206.126.238.18|159.117.207.0/24,206.126.238.18,206.126.238.17
ash1|54113,206.126.237.168,206.126.237.169|23.235.37.0/24,206.126.237.168,206.126.237.169
