#This ducoment lists the peering ASes of Hurricane Electric via IXP at each border router.
#Format:
#border router|peering ASN,<list of neighbor addresses (separated by comma)>
akl1|13335,43.243.21.2
akl1|55561,43.243.21.8
akl1|64073,43.243.21.10
akl1|8075,43.243.21.23
akl1|24511,43.243.21.92
akl1|138398,43.243.21.94
akl1|63830,43.243.21.1,43.243.21.254
akl1|63839,43.243.22.1,43.243.22.2
akl1|133399,43.243.22.8
akl1|58666,43.243.22.9
akl1|4826,43.243.21.27,43.243.22.18
akl1|133192,43.243.21.83,43.243.22.20
akl1|2635,43.243.22.24
akl1|45230,43.243.21.40,43.243.22.25
akl1|55785,43.243.22.36
akl1|58511,43.243.21.32,43.243.22.37
akl1|18015,43.243.21.37,43.243.22.39
akl1|135328,43.243.21.59,43.243.22.42
akl1|56028,43.243.21.51,43.243.22.46
akl1|17705,43.243.21.9,43.243.22.47
akl1|15133,43.243.22.48
akl1|55850,43.243.21.67,43.243.22.61
akl1|38195,43.243.21.69,43.243.22.66
akl1|133480,43.243.21.78,43.243.22.69
akl1|132692,43.243.21.72,43.243.22.70
akl1|138352,43.243.22.73
akl1|26415,43.243.22.78
akl1|56186,43.243.21.5,43.243.22.79,43.243.22.80
akl1|45637,43.243.21.84,43.243.22.83
akl1|137409,43.243.21.82,43.243.22.93
akl1|9560,192.203.154.1,192.203.154.2
akl1|132722,192.203.154.50
akl1|38022,43.243.21.50,192.203.154.57
akl1|19551,192.203.154.179
akl1|42,43.243.22.59,192.203.154.253
akl1|3856,43.243.22.60,192.203.154.254
ams1|205943,80.249.208.6,80.249.208.7
ams1|58552,80.249.208.16
ams1|60134,80.249.208.24
ams1|20773,80.249.208.26
ams1|8304,80.249.208.29
ams1|559,80.249.208.33
ams1|112,80.249.208.39
ams1|9145,80.249.208.42
ams1|50304,80.249.208.44
ams1|47065,80.249.208.45
ams1|1140,80.249.208.49
ams1|1103,80.249.208.34,80.249.208.50
ams1|8708,80.249.208.51
ams1|8918,80.249.208.58
ams1|6661,80.249.208.60
ams1|9009,80.249.208.63
ams1|5583,80.249.208.66
ams1|12654,80.249.208.69
ams1|3333,80.249.208.68,80.249.208.71
ams1|15412,80.249.208.72
ams1|34695,80.249.208.74
ams1|13445,80.249.208.75
ams1|12355,80.249.208.76
ams1|702,80.249.208.77
ams1|24730,80.249.208.79
ams1|57976,80.249.208.83
ams1|36692,80.249.208.88
ams1|47195,80.249.208.92
ams1|5413,80.249.208.95
ams1|42525,80.249.208.96
ams1|1547,80.249.208.97
ams1|8473,80.249.208.99
ams1|21221,80.249.208.102
ams1|3292,80.249.208.104
ams1|20495,80.249.208.107
ams1|5400,80.249.208.108
ams1|15830,80.249.208.113
ams1|6730,80.249.208.116
ams1|16637,80.249.208.117
ams1|31424,80.249.208.118
ams1|3262,80.249.208.120
ams1|6663,80.249.208.121
ams1|6461,80.249.208.122
ams1|19551,80.249.208.124
ams1|31133,80.249.208.125
ams1|6667,80.249.208.127
ams1|15600,80.249.208.128
ams1|37282,80.249.208.138
ams1|34655,80.249.208.150
